"especie_ave","zona_ecologica","tamano_promedio_cm","color_dominante","actividad_predominante","numero_vocalizaciones","franja_horaria_activa","tipo_alimentacion","duracion_canto_seg","numero_avistamientos"
"pinzón costero","agrícola",14.7,"negro","reposo",5,"mediodía","néctar",7.5,4
"tordo renegrido","manglar",12.4,"gris","vuelo",6,"mañana","néctar",6.4,11
"tordo renegrido","urbana",9.8,"amarillo","reposo",4,"mañana","semillas",5.9,14
"colibrí esmeralda","bosque seco",14.8,"gris","alimentación",4,"mediodía","frutas",1,5
"pinzón costero","agrícola",10.1,"gris","alimentación",8,"mediodía","insectos",1,6
"colibrí esmeralda","bosque seco",10.2,"negro","alimentación",3,"mediodía","insectos",9.4,5
"mosquero tropical","manglar",14.9,"negro","reposo",5,"tarde","insectos",7,9
"reinita amarilla","urbana",9.8,"blanco","canto",21,"tarde","néctar",11.4,17
"colibrí esmeralda","agrícola",12.2,"blanco","vuelo",3,"mañana","insectos",1,5
"mosquero tropical","bosque seco",11.7,"blanco","reposo",6,"tarde","semillas",22.1,4
"pinzón costero","manglar",12.7,"blanco","vuelo",4,"mañana","néctar",10.7,5
"colibrí esmeralda","bosque seco",12,"marrón","vuelo",3,"mediodía","insectos",8.8,3
"pinzón costero","manglar",9.7,"verde","vuelo",8,"mañana","insectos",5.9,4
"reinita amarilla","bosque seco",8.3,"blanco","canto",8,"tarde","néctar",14.6,2
"pinzón costero","urbana",9.4,"negro","reposo",6,"mañana","semillas",7.5,7
"mosquero tropical","urbana",13.3,"gris","vuelo",6,"mañana","néctar",1.8,3
"pinzón costero","manglar",14.2,"negro","alimentación",8,"tarde","frutas",1.4,6
"mosquero tropical","urbana",15.6,"amarillo","alimentación",5,"tarde","semillas",5.5,11
"mosquero tropical","manglar",8.8,"negro","reposo",6,"tarde","semillas",2.6,4
"mosquero tropical","bosque seco",10.5,"gris","vuelo",5,"tarde","semillas",1,5
"reinita amarilla","urbana",8.8,"gris","reposo",7,"mañana","néctar",9.3,7
"tordo renegrido","urbana",9.6,"amarillo","reposo",4,"mañana","insectos",6.3,19
"mosquero tropical","urbana",12.3,"verde","vuelo",3,"mañana","semillas",4.1,17
"tordo renegrido","bosque seco",17.3,"negro","vuelo",5,"mediodía","semillas",3.4,3
"colibrí esmeralda","urbana",13.3,"negro","reposo",2,"mañana","néctar",4.9,5
"colibrí esmeralda","agrícola",12.3,"verde","canto",15,"tarde","insectos",12.6,13
"reinita amarilla","urbana",12.9,"marrón","vuelo",6,"mañana","insectos",5.6,7
"tordo renegrido","agrícola",9.9,"amarillo","canto",12,"mañana","insectos",15.3,5
"colibrí esmeralda","urbana",12.2,"negro","canto",45,"tarde","semillas",47.6,9
"pinzón costero","urbana",12.7,"amarillo","reposo",4,"mediodía","insectos",5.6,11
"colibrí esmeralda","agrícola",11.7,"marrón","reposo",6,"mañana","néctar",1,8
"tordo renegrido","agrícola",10.5,"marrón","vuelo",3,"tarde","semillas",4.4,7
"reinita amarilla","agrícola",11.1,"blanco","vuelo",1,"mediodía","semillas",3.7,9
"colibrí esmeralda","urbana",13.1,"gris","canto",15,"mediodía","semillas",6.9,6
"mosquero tropical","bosque seco",11.9,"marrón","vuelo",6,"tarde","insectos",9.2,4
"colibrí esmeralda","bosque seco",11.8,"verde","vuelo",5,"mañana","insectos",6.2,6
"tordo renegrido","agrícola",11.3,"verde","canto",14,"mediodía","néctar",7,4
"reinita amarilla","agrícola",8.8,"marrón","reposo",2,"mañana","néctar",1.3,5
"tordo renegrido","bosque seco",12.4,"gris","alimentación",4,"tarde","insectos",7.8,1
"reinita amarilla","bosque seco",12.1,"blanco","vuelo",2,"tarde","néctar",7.1,5
"mosquero tropical","manglar",12.2,"verde","canto",19,"mañana","néctar",13.8,8
"pinzón costero","manglar",14.1,"verde","canto",15,"mediodía","frutas",11.6,2
"tordo renegrido","agrícola",8.7,"gris","reposo",6,"mañana","frutas",5.3,4
"tordo renegrido","manglar",17.1,"marrón","canto",13,"tarde","néctar",18.9,4
"reinita amarilla","urbana",14.9,"marrón","vuelo",6,"tarde","frutas",13.4,9
"colibrí esmeralda","manglar",12.8,"marrón","vuelo",6,"tarde","frutas",1,4
"mosquero tropical","agrícola",12.6,"negro","vuelo",5,"mediodía","insectos",1,3
"colibrí esmeralda","manglar",10.4,"blanco","vuelo",5,"mediodía","frutas",9.1,2
"pinzón costero","manglar",10.6,"blanco","canto",15,"tarde","néctar",14.1,3
"reinita amarilla","bosque seco",14.1,"negro","canto",10,"tarde","néctar",13.7,4
"tordo renegrido","bosque seco",14.6,"gris","vuelo",4,"tarde","néctar",2.9,10
"pinzón costero","bosque seco",14.2,"amarillo","reposo",7,"tarde","frutas",1.9,4
"mosquero tropical","agrícola",14.1,"blanco","canto",21,"tarde","insectos",8.3,5
"mosquero tropical","agrícola",10.8,"amarillo","reposo",3,"tarde","frutas",3.4,2
"pinzón costero","urbana",14,"amarillo","reposo",3,"mediodía","semillas",1,11
"pinzón costero","manglar",13.4,"amarillo","vuelo",5,"mañana","néctar",5.2,8
"reinita amarilla","bosque seco",12.1,"marrón","alimentación",4,"mediodía","insectos",2.9,2
"tordo renegrido","bosque seco",9.6,"blanco","alimentación",3,"tarde","frutas",1,5
"colibrí esmeralda","agrícola",12.5,"negro","vuelo",2,"mañana","néctar",5.3,8
"pinzón costero","urbana",11.4,"verde","vuelo",4,"mañana","semillas",8.6,15
"mosquero tropical","agrícola",14.1,"amarillo","alimentación",1,"mediodía","frutas",4.8,7
"tordo renegrido","manglar",7.2,"amarillo","vuelo",6,"mediodía","semillas",1,5
"colibrí esmeralda","agrícola",9.5,"verde","reposo",10,"mañana","semillas",4.2,7
"tordo renegrido","urbana",12.1,"negro","alimentación",6,"tarde","semillas",1.2,6
"pinzón costero","bosque seco",12.1,"blanco","canto",17,"mediodía","semillas",10.4,5
"colibrí esmeralda","manglar",8.6,"negro","reposo",2,"tarde","insectos",4.2,3
"reinita amarilla","urbana",11.7,"verde","canto",16,"mañana","insectos",12.9,10
"reinita amarilla","agrícola",14.4,"gris","vuelo",10,"mañana","néctar",1,12
"mosquero tropical","bosque seco",12.9,"amarillo","canto",16,"tarde","semillas",5.8,8
"pinzón costero","urbana",14.3,"marrón","canto",16,"mañana","néctar",13.3,15
"colibrí esmeralda","manglar",12.8,"marrón","vuelo",4,"mediodía","insectos",3.6,3
"tordo renegrido","agrícola",10.7,"marrón","reposo",4,"mediodía","néctar",7.4,4
"tordo renegrido","bosque seco",12.1,"gris","vuelo",14,"mediodía","frutas",29.7,6
"reinita amarilla","bosque seco",11.1,"amarillo","reposo",5,"tarde","néctar",1,7
"reinita amarilla","bosque seco",11.6,"marrón","alimentación",6,"mañana","insectos",2.8,2
"tordo renegrido","bosque seco",13,"blanco","reposo",5,"mañana","frutas",4.8,5
"mosquero tropical","manglar",14.2,"marrón","vuelo",9,"tarde","néctar",6.5,7
"pinzón costero","bosque seco",8.3,"gris","canto",15,"tarde","frutas",17.8,6
"reinita amarilla","urbana",8.6,"blanco","vuelo",3,"tarde","néctar",1,9
"colibrí esmeralda","agrícola",12.8,"verde","alimentación",7,"tarde","frutas",4.6,2
"tordo renegrido","agrícola",11.5,"negro","reposo",6,"tarde","insectos",2.3,4
"tordo renegrido","manglar",12.6,"gris","reposo",6,"mediodía","néctar",1,9
"tordo renegrido","bosque seco",16,"amarillo","canto",9,"tarde","frutas",13.7,5
"reinita amarilla","urbana",12,"amarillo","vuelo",2,"mediodía","insectos",6.7,14
"tordo renegrido","manglar",14.7,"verde","reposo",4,"mediodía","semillas",9.7,2
"tordo renegrido","agrícola",8.1,"gris","alimentación",3,"mediodía","frutas",1.8,5
"reinita amarilla","bosque seco",12.4,"blanco","alimentación",11,"mañana","néctar",1,6
"reinita amarilla","urbana",13.4,"amarillo","reposo",7,"tarde","frutas",2.4,10
"pinzón costero","urbana",9.9,"blanco","vuelo",2,"mañana","insectos",1.8,18
"reinita amarilla","urbana",7.8,"amarillo","alimentación",4,"tarde","semillas",5.5,9
"tordo renegrido","urbana",15.6,"marrón","vuelo",4,"mañana","néctar",2.1,8
"colibrí esmeralda","manglar",11.8,"amarillo","alimentación",7,"mañana","frutas",1,8
"pinzón costero","bosque seco",15.4,"blanco","reposo",4,"mañana","frutas",7.5,5
"mosquero tropical","urbana",8.4,"blanco","vuelo",3,"mañana","frutas",1,5
"tordo renegrido","urbana",12.8,"blanco","alimentación",2,"mañana","frutas",5.9,16
"tordo renegrido","manglar",10.7,"marrón","canto",10,"mañana","semillas",15.6,4
"reinita amarilla","urbana",12.7,"negro","alimentación",2,"mañana","frutas",2.7,7
"tordo renegrido","urbana",14,"blanco","alimentación",7,"tarde","frutas",1.2,12
"reinita amarilla","bosque seco",13.8,"amarillo","alimentación",3,"mediodía","frutas",6.4,6
"mosquero tropical","bosque seco",13,"verde","canto",16,"tarde","semillas",15.3,6
"pinzón costero","manglar",11.6,"blanco","vuelo",7,"mediodía","frutas",3.5,4
"tordo renegrido","bosque seco",7.9,"marrón","vuelo",10,"tarde","insectos",5,2
"reinita amarilla","manglar",16.2,"negro","reposo",5,"mañana","insectos",1,3
"mosquero tropical","agrícola",14.4,"blanco","vuelo",7,"mañana","frutas",1.8,6
"colibrí esmeralda","bosque seco",12.8,"negro","alimentación",3,"mediodía","frutas",1.5,10
"pinzón costero","manglar",12,"negro","reposo",5,"mediodía","néctar",1,6
"reinita amarilla","agrícola",10.6,"blanco","vuelo",12,"mediodía","insectos",17,7
"tordo renegrido","urbana",13.6,"negro","vuelo",4,"mediodía","néctar",2.2,10
"reinita amarilla","manglar",11.5,"marrón","vuelo",2,"mediodía","insectos",2.5,7
"mosquero tropical","urbana",9.6,"verde","canto",16,"tarde","insectos",10.3,16
"reinita amarilla","urbana",14.4,"blanco","reposo",4,"mañana","néctar",8.9,12
"reinita amarilla","agrícola",12.9,"amarillo","canto",16,"mediodía","semillas",12,3
"reinita amarilla","manglar",15.2,"marrón","alimentación",7,"mediodía","néctar",1.3,3
"mosquero tropical","manglar",8.3,"gris","reposo",3,"mañana","insectos",5.9,5
"reinita amarilla","manglar",12.2,"marrón","reposo",6,"mediodía","néctar",1,9
"tordo renegrido","agrícola",11.5,"marrón","reposo",3,"tarde","insectos",11.7,3
"tordo renegrido","manglar",13.2,"marrón","vuelo",4,"mediodía","insectos",4.8,6
"tordo renegrido","bosque seco",12,"blanco","canto",16,"mañana","insectos",11.2,8
"colibrí esmeralda","bosque seco",15.4,"negro","reposo",12,"mañana","frutas",17,8
"mosquero tropical","urbana",7.2,"gris","alimentación",6,"tarde","frutas",4.5,11
"mosquero tropical","agrícola",11.4,"gris","reposo",20,"mañana","néctar",9,4
"mosquero tropical","manglar",8.8,"blanco","vuelo",3,"mediodía","frutas",6.9,7
"mosquero tropical","manglar",13.7,"marrón","reposo",3,"tarde","frutas",1,7
"tordo renegrido","agrícola",15.7,"blanco","alimentación",0,"tarde","néctar",7.7,3
"tordo renegrido","agrícola",8.1,"marrón","alimentación",4,"mañana","semillas",1,9
"pinzón costero","agrícola",9.8,"marrón","vuelo",5,"mediodía","semillas",1.9,3
"tordo renegrido","urbana",11.1,"marrón","canto",15,"tarde","semillas",17.7,10
"reinita amarilla","bosque seco",12.5,"negro","reposo",6,"mediodía","semillas",1,2
"colibrí esmeralda","manglar",9.1,"negro","reposo",8,"mañana","semillas",4.3,5
"reinita amarilla","manglar",14.2,"verde","vuelo",3,"mediodía","insectos",10.2,6
"colibrí esmeralda","bosque seco",11,"blanco","vuelo",4,"tarde","semillas",3.5,4
"mosquero tropical","manglar",12.5,"blanco","vuelo",4,"mediodía","semillas",8.8,5
"colibrí esmeralda","urbana",14.6,"amarillo","vuelo",7,"mediodía","semillas",8.3,8
"mosquero tropical","urbana",11.9,"gris","alimentación",3,"mediodía","insectos",3,12
"reinita amarilla","manglar",12.8,"marrón","reposo",8,"tarde","insectos",1.1,5
"mosquero tropical","urbana",7.9,"negro","reposo",6,"mediodía","néctar",2.4,11
"colibrí esmeralda","manglar",12.1,"negro","reposo",10,"mañana","insectos",6.9,9
"reinita amarilla","bosque seco",11.2,"negro","vuelo",3,"mediodía","frutas",1,8
"pinzón costero","urbana",12.9,"marrón","alimentación",6,"tarde","frutas",6.1,11
"tordo renegrido","manglar",13.3,"blanco","alimentación",4,"tarde","semillas",1,6
